Townships,Commodity,Year,Month,Arrivals_in_ton,Min_price($),Max_price($),Modal_price($),Date,County_name,State_name
Viola,Broilers,2016,October,306.883104,0.333333333,0.666666667,0.666666667,2016-10,Audubon,Iowa
Maple Valley,Broilers,2016,June,2.20462,10.66666667,10.93333333,10.8,2016-06,Buena Vista,Iowa
Indian Village,Oats,2015,June,0.992079,78,78,78,2015-06,Tama,Iowa
Indian Village,Dairy Products,2015,June,104.829681,5.173333333,27.73333333,15.46666667,2015-06,Tama,Iowa
Indian Village,Dairy Products,2016,June,89.28711,9.333333333,66.50666667,39.08,2016-06,Tama,Iowa
Washington,Broilers,2015,February,0.551155,11.33333333,11.33333333,11.33333333,2015-02,Buena Vista,Iowa
Canton,Broilers,2014,October,96.672587,10.66666667,12.17333333,11.41333333,2014-10,Benton,Iowa
Cedar,Broilers,2014,November,1345.369355,11.33333333,12.58666667,11.93333333,2014-11,Benton,Iowa
Big Groe,Broilers,2014,December,10.802638,11.6,12.66666667,11.98666667,2014-12,Benton,Iowa
Salth Creek,Corn,2015,June,243.500279,6.32,30.70666667,22.41333333,2015-06,Tama,Iowa
Salth Creek,Corn,2016,June,444.671854,1.88,14.93333333,9.133333333,2016-06,Tama,Iowa
Salth Creek,Dairy Products,2015,June,95.239584,5.693333333,24.52,16.92,2015-06,Tama,Iowa
Salth Creek,Dairy Products,2016,June,40.78547,14.77333333,63.22666667,43.17333333,2016-06,Tama,Iowa
Tama,Chicken Eggs,2015,June,1835.235919,28.09333333,72.84,46.74666667,2015-06,Tama,Iowa
Tama,Chicken Eggs,2016,June,1384.280898,29.66666667,75.28,43.97333333,2016-06,Tama,Iowa
Tama,Oats,2015,June,4.960395,89.96,92.46666667,91.62666667,2015-06,Tama,Iowa
Tama,Oats,2016,June,64.264673,105.44,114.6666667,112.84,2016-06,Tama,Iowa
Raglan,Hogs,2015,May,5.621781,0.146666667,0.12,0.12,2015-05,Iowa,Iowa
Raglan,Hogs,2015,March,7.71617,0.12,0.146666667,0.133333333,2015-03,Iowa,Iowa
